number,value,ETH / USD,STETH / ETH ETH/USD Composite
14805947,11072,202366500000,199169368964
14806247,11054,201149072419,197648495562
14806547,11054,201535000000,198027706884
14806847,11054,200191076762,196707171806
14807147,11054,201069115000,197569929633
14807447,11054,201357098101,197852900994
14807747,11054,200504519351,197015159585
14808047,11054,201026000000,197527564959
14808347,11054,204033933030,200483151237
14808647,11054,202803057977,199273696977
14808947,11054,202140680734,198622847018
14809247,11054,201785741446,198274084702
14809547,11054,201309420242,197806052868
14809847,11054,202628000000,199101685516
14810147,11054,202526176550,199001634089
14810447,11054,203574242352,200031460509
14810747,11054,205137778146,201567786248
14811047,11054,205595000000,202017051117
14811347,11054,203076122690,199542009573
14811647,11054,202060235873,198543802131
14811947,11054,196862712807,193436731030
14812247,11054,192699000000,189345478894
14812547,11076,193917920000,190930911488
14812847,11076,194314000000,191320890482
14813147,11076,196700180000,193670315035
14813447,11076,196000154074,192981071936
14813747,11076,196281185033,193257774043
14814047,11076,196032617797,193013035605
14814347,11076,196226914932,193204339890
14814647,11076,195087861740,192082832068
14814947,11076,195624705625,192611406695
14815247,11076,196480382268,193453902950
14815547,11076,196156482401,193134992264
14815847,11076,197175000000,194137821160
14816147,11076,197757000000,194710856341
14816447,11076,197663216048,194618516987
14816747,11076,196999583311,193965106496
14817047,11076,195990000000,192971074270
14817347,11076,196996500000,193962070679
14817647,11076,197157769994,194120856556
14817947,11076,197586600000,194543081092
14818247,11076,197937000000,194888083717
14818547,11076,197897000000,194848699856
14818847,10957,197560725000,192421242007
14819147,10957,197828106654,192681667807
14819447,10957,197877767768,192730037002
14819747,10957,196971521557,191847366515
14820047,10957,197070207930,191943485591
14820347,10957,197381113561,192246303106
14820647,10957,197771677900,192626707030
14820947,10957,197891020000,192742944482
14821247,10957,197200505000,192070393022
14821547,10957,196924151474,191801228750
14821847,10957,197075059643,191948211088
14822147,10957,197334033179,192200447506
14822447,10957,197455500000,192318754404
14822747,10957,201890000000,196637892217
14823047,10957,203072189700,197789327606
14823347,10957,201544645166,196301521685
14823647,10957,202703037026,197429778328
14823947,10957,201773520000,196524442409
14824247,10957,199238434517,194055306414
14824547,10957,200831000000,195606441784
14824847,10980,200735339353,195924630629
14825147,10980,201177895000,196356580239
14825447,10980,200621037549,195813068117
14825747,10980,201003500000,196186364690
14826047,10980,204316816495,199420276131
14826347,10980,204579618645,199676780114
14826647,10980,204201000000,199307235228
14826947,10980,203341673676,198468503029
14827247,10980,202571000000,197716298879
14827547,10980,202839487512,197978351972
14827847,10980,202760222961,197900987030
14828147,10980,205479000000,200554607409
14828447,10980,206725781460,201771509215
14828747,10980,205506414688,200581365092
14829047,10980,206894000000,201935696325
14829347,10980,207902570319,202920095823
14829647,10980,206790250714,201834433435
14829947,10980,206793440928,201837547194
14830247,10980,205602258657,200674912119
14830547,10980,206450281203,201502611440
14830847,10980,205610710653,200683161559
14831147,11024,205082000000,200968470369
14831447,11024,200000562372,195988956090
14831747,11024,199654755567,195650085469
14832047,11024,199618180134,195614243665
14832347,11024,197555000000,193592446747
14832647,11024,197298645415,193341234116
14832947,11024,198206356679,194230738530
14833247,11024,198441182485,194460854206
14833547,11024,198460857172,194480134258
14833847,11024,198861130951,194872379356
14834147,11024,198187171294,194211937965
14834447,11024,197826830000,193858824387
14834747,11024,198412570000,194432815629
14835047,11024,196812072903,192864421263
14835347,11024,197246000000,193289644661
14835647,11024,196374185272,192435316771
14835947,11024,196628179544,192684216432
14836247,11024,191888015865,188039130838
14836547,11024,193809072808,189921655269
14836847,11024,196467932457,192527183577
14837147,11012,195095741862,190970604329
14837447,11012,194426677230,190315686514
14837747,11012,196339500000,192188064234
14838047,11012,196773000000,192612398236
14838347,11012,197847756912,193664430305
14838647,11012,197871509010,193687680185
14838947,11012,197459213207,193284102034
14839247,11012,198633713407,194433768402
14839547,11012,201458910302,197199228854
14839847,11012,201386085000,197127943383
14840147,11012,199315211024,195100856318
14840447,11012,198544440000,194346382608
14840747,11012,197675000000,193495326195
14841047,11012,196766000000,192605546245
14841347,11012,197614127664,193435740954
14841647,11012,195214546390,191086896834
14841947,11012,194424130000,190313193143
14842247,11012,196651292591,192493264229
14842547,11012,196641333255,192483515475
14842847,11012,196134170000,191987075766
14843147,11012,195147890000,191021649838
14843447,11002,197108318323,192779763437
14843747,11002,197038000000,192710989325
14844047,11002,195880500000,191578908355
14844347,11002,196493233460,192178186013
14844647,11002,195084988605,190800866617
14844947,11002,195133690279,190848498788
14845247,11002,194943248630,190662239292
14845547,11002,195420000000,191128521066
14845847,11002,194344611364,190076748271
14846147,11002,193885500000,189627719124
14846447,11002,192297683287,188074771319
14846747,11002,191834826469,187622078968
14847047,11002,182808664930,178794134511
14847347,11002,183701916663,179667770181
14847647,11002,181616105408,177627763936
14847947,11002,182450808620,178444136828
14848247,11002,178186280000,174273258472
